"","RAE1","MTSS1L","TMEM194B","ATOH8","FLJ41941","B2M","CSTL1","SNORD19","DSC3","RANBP3L","PLA2G4F","SNORD18C","CLPB"
"RAE1",0,0.00161981584418662,2.22975285666237e-05,0.00035196258238677,0.00418825107662574,0.00549565448712198,0.00575957257820545,0.00425173974039541,0.00326221880229371,2.56524735562501e-05,0.0011025355782019,0.000111707693788583,0.000257090016671946
"MTSS1L",0.00161981584418662,0,1.78421996201351e-05,0.000250511550377293,0.00145086073938506,0.00147947341659451,0.00181731113775541,0.00142148145866513,0.00124336673921611,3.04557899712841e-05,0.000634711651996875,6.78975351363038e-05,0.000180303377931165
"TMEM194B",2.22975285666237e-05,1.78421996201351e-05,0,8.37213181520427e-06,2.25114469766122e-05,2.52133249893545e-05,1.03960264466712e-05,1.24520731190784e-05,1.17401698789554e-05,7.56036334298646e-07,1.11533168229024e-05,2.18091598366211e-06,8.18567230174863e-06
"ATOH8",0.00035196258238677,0.000250511550377293,8.37213181520427e-06,0,0.000329486370897995,0.000422701389265686,0.000486457448852838,0.000361001799596496,0.000255542619345664,4.6153297142347e-06,0.000182047944254071,1.89480559348379e-05,4.72998757606841e-05
"FLJ41941",0.00418825107662574,0.00145086073938506,2.25114469766122e-05,0.000329486370897995,0,0.00409919165070881,0.00464077637567792,0.00364304376853206,0.00274013144404813,4.33435707227512e-05,0.00098556498459522,8.3541182918077e-05,0.000231201025308981
"B2M",0.00549565448712198,0.00147947341659451,2.52133249893545e-05,0.000422701389265686,0.00409919165070881,0,0.0063876757730463,0.00455656339902462,0.00321930267747641,5.65021147998058e-06,0.000994005878565652,0.000117231664550491,0.000263784094493691
"CSTL1",0.00575957257820545,0.00181731113775541,1.03960264466712e-05,0.000486457448852838,0.00464077637567792,0.0063876757730463,0,0.00451619456109331,0.00345446664770311,4.61385212612298e-05,0.00116008265113624,8.47996272435615e-05,0.000283257117734275
"SNORD19",0.00425173974039541,0.00142148145866513,1.24520731190784e-05,0.000361001799596496,0.00364304376853206,0.00455656339902462,0.00451619456109331,0,0.00287260674018936,2.78495766338269e-05,0.00105901264067272,9.27397501835545e-05,0.000201626154355607
"DSC3",0.00326221880229371,0.00124336673921611,1.17401698789554e-05,0.000255542619345664,0.00274013144404813,0.00321930267747641,0.00345446664770311,0.00287260674018936,0,2.18835782623741e-05,0.000768328499746022,6.72840167488439e-05,0.000156005543802198
"RANBP3L",2.56524735562501e-05,3.04557899712841e-05,7.56036334298646e-07,4.6153297142347e-06,4.33435707227512e-05,5.65021147998058e-06,4.61385212612298e-05,2.78495766338269e-05,2.18835782623741e-05,0,2.15727784680395e-05,4.23827756882224e-06,1.31337415683098e-05
"PLA2G4F",0.0011025355782019,0.000634711651996875,1.11533168229024e-05,0.000182047944254071,0.00098556498459522,0.000994005878565652,0.00116008265113624,0.00105901264067272,0.000768328499746022,2.15727784680395e-05,0,4.89452593331213e-05,0.000151332240555008
"SNORD18C",0.000111707693788583,6.78975351363038e-05,2.18091598366211e-06,1.89480559348379e-05,8.3541182918077e-05,0.000117231664550491,8.47996272435615e-05,9.27397501835545e-05,6.72840167488439e-05,4.23827756882224e-06,4.89452593331213e-05,0,1.88696749950639e-05
"CLPB",0.000257090016671946,0.000180303377931165,8.18567230174863e-06,4.72998757606841e-05,0.000231201025308981,0.000263784094493691,0.000283257117734275,0.000201626154355607,0.000156005543802198,1.31337415683098e-05,0.000151332240555008,1.88696749950639e-05,0
