"","PRSS37_136242","OR2T33_391195","CTRC_11330","OR6B2_389090","LUZP4_51213","FAM47A_158724","KDM4DL_390245","LOC285045_285045","SNORA16B_692157","MGC26647_219557","OMP_4975","KCNA10_3744","CSHL1_1444","MSGN1_343930"
"PRSS37_136242",0,2.62191911210127e-06,2.86826534713994e-06,1.98655520212976e-06,3.105387885034e-06,2.75438831599922e-06,3.09375511126602e-07,1.50234799423505e-06,2.13726733811855e-06,2.29009183851862e-06,4.9438760447127e-07,2.60082553354837e-06,3.38639565661351e-07,2.41657987405698e-06
"OR2T33_391195",2.62191911210127e-06,0,1.53897216945717e-06,1.28505077032281e-06,1.62120496800817e-06,1.65963088314567e-06,1.42134644508481e-07,8.58113568407231e-07,1.40679463003521e-06,1.3593660066447e-06,3.74015392817703e-07,1.61731032074535e-06,1.51760251885611e-07,1.84611297942382e-06
"CTRC_11330",2.86826534713994e-06,1.53897216945717e-06,0,1.40244517935335e-06,3.96216131173612e-06,2.37360191566212e-06,3.49132137696393e-07,1.97758456033481e-06,2.13649036403098e-06,1.80849678280995e-06,4.29863903497348e-07,1.89161631334308e-06,2.44004278359527e-07,2.13921010598638e-06
"OR6B2_389090",1.98655520212976e-06,1.28505077032281e-06,1.40244517935335e-06,0,1.15294444378477e-06,1.14492044255076e-06,1.05040448792967e-07,9.41427007690875e-07,1.18473028214021e-06,1.20988012621231e-06,2.81861294033507e-07,1.33020266397611e-06,1.55295569192046e-07,1.50269518960946e-06
"LUZP4_51213",3.105387885034e-06,1.62120496800817e-06,3.96216131173612e-06,1.15294444378477e-06,0,2.70560664271371e-06,2.05919734115797e-07,1.67645897462549e-06,2.08820403961438e-06,1.97603967418602e-06,3.27231346145564e-07,1.96096887024849e-06,2.64047088204804e-07,1.95593883024197e-06
"FAM47A_158724",2.75438831599922e-06,1.65963088314567e-06,2.37360191566212e-06,1.14492044255076e-06,2.70560664271371e-06,0,2.97436513695813e-07,1.16733409954865e-06,2.13671436550294e-06,1.72780302515817e-06,4.34076876722138e-07,1.70929361228866e-06,3.21292430134856e-07,1.82456893343292e-06
"KDM4DL_390245",3.09375511126602e-07,1.42134644508481e-07,3.49132137696393e-07,1.05040448792967e-07,2.05919734115797e-07,2.97436513695813e-07,0,1.15143045088944e-07,2.63691694542769e-07,2.10185209661901e-07,8.83806296784281e-08,1.89624921605092e-07,1.15645775333732e-07,1.68091367631513e-07
"LOC285045_285045",1.50234799423505e-06,8.58113568407231e-07,1.97758456033481e-06,9.41427007690875e-07,1.67645897462549e-06,1.16733409954865e-06,1.15143045088944e-07,0,9.88571380715102e-07,1.0748650192373e-06,3.3152812716417e-07,9.79270699963688e-07,1.4378287356789e-07,9.67357653741212e-07
"SNORA16B_692157",2.13726733811855e-06,1.40679463003521e-06,2.13649036403098e-06,1.18473028214021e-06,2.08820403961438e-06,2.13671436550294e-06,2.63691694542769e-07,9.88571380715102e-07,0,1.49570096939657e-06,3.66363300587691e-07,1.6485853472545e-06,2.72705566808806e-07,1.83325069954848e-06
"MGC26647_219557",2.29009183851862e-06,1.3593660066447e-06,1.80849678280995e-06,1.20988012621231e-06,1.97603967418602e-06,1.72780302515817e-06,2.10185209661901e-07,1.0748650192373e-06,1.49570096939657e-06,0,3.34694448184639e-07,1.57829920151294e-06,2.70803311452653e-07,1.38948658680933e-06
"OMP_4975",4.9438760447127e-07,3.74015392817703e-07,4.29863903497348e-07,2.81861294033507e-07,3.27231346145564e-07,4.34076876722138e-07,8.83806296784281e-08,3.3152812716417e-07,3.66363300587691e-07,3.34694448184639e-07,0,3.71543632242376e-07,1.22078978222761e-07,2.98502543043066e-07
"KCNA10_3744",2.60082553354837e-06,1.61731032074535e-06,1.89161631334308e-06,1.33020266397611e-06,1.96096887024849e-06,1.70929361228866e-06,1.89624921605092e-07,9.79270699963688e-07,1.6485853472545e-06,1.57829920151294e-06,3.71543632242376e-07,0,2.34778706782301e-07,1.78707683954964e-06
"CSHL1_1444",3.38639565661351e-07,1.51760251885611e-07,2.44004278359527e-07,1.55295569192046e-07,2.64047088204804e-07,3.21292430134856e-07,1.15645775333732e-07,1.4378287356789e-07,2.72705566808806e-07,2.70803311452653e-07,1.22078978222761e-07,2.34778706782301e-07,0,2.04522900972717e-07
"MSGN1_343930",2.41657987405698e-06,1.84611297942382e-06,2.13921010598638e-06,1.50269518960946e-06,1.95593883024197e-06,1.82456893343292e-06,1.68091367631513e-07,9.67357653741212e-07,1.83325069954848e-06,1.38948658680933e-06,2.98502543043066e-07,1.78707683954964e-06,2.04522900972717e-07,0
