"","l1","l2","RhoTrain","RhoTest","DeltaCor"
"1",0.1,0.1,1.066556,0.423856,0.698853018364428
"2",0.2,0.1,1.142486,0.575216,0.704504948475188
"3",0.3,0.1,1.221396,0.632486,0.699924141717138
"4",0.4,0.1,1.259492,0.695642,0.672606102103676
"5",0.5,0.1,1.271694,0.73974,0.644511628555625
"6",0.1,0.2,1.039434,0.4173,0.829042488775869
"7",0.2,0.2,1.103162,0.560994,0.745700424947432
"8",0.3,0.2,1.149056,0.64844,0.690936949668678
"9",0.4,0.2,1.17629,0.696696,0.656608925953147
"10",0.5,0.2,1.189326,0.73873,0.62394964543486
"11",0.1,0.3,1.014232,0.432254,0.808338914569478
"12",0.2,0.3,1.065882,0.56948,0.724472486130303
"13",0.3,0.3,1.106808,0.659404,0.668611715317783
"14",0.4,0.3,1.129256,0.709152,0.629833091043343
"15",0.5,0.3,1.14052,0.754666,0.587052694491424
"16",0.1,0.4,0.995566,0.440878,0.791068733889183
"17",0.2,0.4,1.044816,0.5799,0.700421391982329
"18",0.3,0.4,1.084654,0.664434,0.643709807245529
"19",0.4,0.4,1.10678,0.711526,0.606162673188376
"20",0.5,0.4,1.12164,0.756082,0.562148004978504
"21",0.1,0.5,0.987738,0.27393,0.713811675376255
"22",0.2,0.5,1.034454,0.57702,0.687294008559681
"23",0.3,0.5,1.077274,0.661322,0.632400521226542
"24",0.4,0.5,1.103016,0.708526,0.594499398577988
"25",0.5,0.5,1.118456,0.751062,0.549302917171064
